iter	Logloss
0	0.6433357598
1	0.6076197712
2	0.5766238347
3	0.5527177744
4	0.5328187533
5	0.5183244639
6	0.5023388073
7	0.4911626648
8	0.4827562578
9	0.4748927703
10	0.4664854272
11	0.4584401449
12	0.452981118
13	0.4489332952
14	0.4454331037
15	0.4423556026
16	0.4379655023
17	0.4344909918
18	0.4321495009
19	0.4299509871
20	0.4282494293
21	0.4262328353
22	0.4247503612
23	0.4226065794
24	0.4212697347
25	0.4202655566
26	0.4191800607
27	0.4180552477
28	0.4170288211
29	0.4158883748
30	0.4145046304
31	0.4120020954
32	0.4110906558
33	0.4093481271
34	0.4072157659
35	0.4059896957
36	0.4047603178
37	0.4035882618
38	0.4030453423
39	0.4025607431
40	0.4015775029
41	0.401045848
42	0.3997484453
43	0.3987732246
44	0.3983305325
45	0.3974463652
46	0.3967834348
47	0.3959463545
48	0.3954262451
49	0.3950385345
50	0.3941130531
51	0.3928935357
52	0.3918981572
53	0.3915872086
54	0.3904086934
55	0.3899024074
56	0.3884809997
57	0.387952122
58	0.3870190267
59	0.3863245178
60	0.3859985913
61	0.3856897647
62	0.384817767
63	0.3844175124
64	0.383995259
65	0.3833806325
66	0.3830820095
67	0.3827478452
68	0.3822709222
69	0.3818265451
70	0.3814221716
71	0.3807981214
72	0.3805777583
73	0.3802968281
74	0.3800633592
75	0.3797230165
76	0.3790922574
77	0.3778176649
78	0.3770113206
79	0.376848529
80	0.3755265686
81	0.3744809827
82	0.3739265489
83	0.3729325433
84	0.3726362295
85	0.3722909253
86	0.3716631618
87	0.370539909
88	0.3702410989
89	0.3695129207
90	0.3690880774
91	0.3686700677
92	0.3678615079
93	0.3676723488
94	0.3668350189
95	0.3663929508
96	0.3656295745
97	0.3652631452
98	0.3642747875
99	0.3634363654
100	0.3632586583
101	0.3630975517
102	0.3626888096
103	0.3623091185
104	0.3616965514
105	0.3615700501
106	0.3614503201
107	0.3606923421
108	0.3605765438
109	0.3599515264
110	0.3593665749
111	0.3590398371
112	0.3584704877
113	0.3580295742
114	0.3576249199
115	0.3574948301
116	0.3573170293
117	0.3566526947
118	0.3556212131
119	0.3550038718
120	0.3543627218
121	0.3535943217
122	0.3534311868
123	0.3532286724
124	0.3527839208
125	0.3525621535
126	0.3520894743
127	0.3520072828
128	0.3514315677
129	0.3510899456
130	0.350933426
131	0.3508071119
132	0.3502266539
133	0.3491161947
134	0.348841006
135	0.3486854538
136	0.3479135899
137	0.3477315142
138	0.3469829598
139	0.3465541847
140	0.3459555035
141	0.3448865458
142	0.3443493989
143	0.3438067914
144	0.3436502718
145	0.3433159514
146	0.3431737857
147	0.3426521473
148	0.3419913387
149	0.3416897202
