iter	Passed	Remaining
0	5	767
1	9	719
2	14	701
3	19	697
4	23	691
5	28	682
6	33	678
7	38	676
8	42	673
9	47	670
10	52	665
11	57	665
12	62	659
13	67	653
14	72	648
15	76	643
16	81	639
17	87	638
18	91	633
19	96	629
20	101	623
21	106	618
22	111	613
23	115	607
24	120	603
25	124	591
26	129	588
27	134	584
28	139	580
29	144	577
30	148	571
31	153	567
32	158	562
33	163	557
34	168	552
35	173	548
36	178	543
37	182	539
38	187	534
39	192	529
40	197	524
41	201	519
42	207	515
43	211	510
44	216	505
45	221	500
46	226	495
47	230	490
48	235	485
49	240	481
50	245	476
51	250	471
52	255	467
53	260	462
54	265	458
55	269	453
56	275	448
57	279	443
58	284	438
59	289	434
60	294	429
61	299	424
62	304	420
63	309	416
64	314	411
65	319	406
66	324	402
67	329	397
68	334	392
69	339	387
70	344	382
71	349	378
72	355	374
73	360	370
74	365	365
75	370	360
76	375	356
77	380	351
78	386	347
79	391	342
80	396	337
81	401	332
82	406	328
83	412	324
84	417	319
85	421	313
86	427	309
87	432	304
88	436	299
89	442	294
90	447	289
91	452	285
92	457	280
93	462	275
94	467	270
95	473	266
96	478	261
97	483	256
98	488	251
99	494	247
100	498	242
101	503	237
102	508	232
103	513	227
104	518	222
105	523	217
106	527	212
107	533	207
108	537	202
109	542	197
110	548	192
111	552	187
112	557	182
113	562	177
114	567	172
115	572	167
116	577	162
117	582	157
118	587	152
119	592	148
120	597	143
121	602	138
122	607	133
123	612	128
124	617	123
125	622	118
126	627	113
127	632	108
128	637	103
129	642	98
130	647	93
131	652	88
132	657	84
133	662	79
134	667	74
135	672	69
136	677	64
137	683	59
138	688	54
139	693	49
140	698	44
141	704	39
142	709	34
143	714	29
144	719	24
145	724	19
146	729	14
147	733	9
148	738	4
149	743	0
